AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterYN,ReportingCategory,CumulativeEnrollment,Total Suspensions,Unduplicated Count of Students Suspended (Total),Unduplicated Count of Students Suspended (Defiance-Only),Suspension Rate (Total),Suspension Count Violent Incident (Injury),Suspension Count Violent Incident (No Injury),Suspension Count Weapons Possession,Suspension Count Illicit Drug-Related,Suspension Count Defiance-Only,Suspension Count Other Reasons
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,SD,1454,10,7,0,0.5,4,4,0,1,0,1
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,SE,546,2,2,0,0.4,1,1,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,SF,40,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,SH,431,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,SS,4173,5,4,0,0.1,1,4,0,0,0,0
2024-25,D,30,66464,0,Orange,Capistrano Unified,District Office,Yes,TA,8451,25,19,0,0.2,6,14,2,1,0,2
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,GF,2010,1,1,0,0.0,0,1,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,GM,2194,31,16,0,0.7,13,18,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,RA,779,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,RB,89,2,2,0,2.2,1,1,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,RD,84,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,RF,318,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,RH,2244,23,12,0,0.5,7,16,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,RI,12,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,RP,22,1,1,0,4.5,1,0,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,RT,186,1,1,0,0.5,1,0,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,RW,470,5,1,0,0.2,3,2,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,SD,647,20,8,0,1.2,8,12,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,SE,1018,6,5,0,0.5,1,5,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,SF,26,3,1,0,3.8,1,2,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,SH,378,5,2,0,0.5,3,2,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,SS,2801,21,13,0,0.5,9,12,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,All,TA,4204,32,17,0,0.4,13,19,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,GF,2010,1,1,0,0.0,0,1,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,GM,2194,31,16,0,0.7,13,18,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,RA,779,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,RB,89,2,2,0,2.2,1,1,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,RD,84,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,RF,318,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,RH,2244,23,12,0,0.5,7,16,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,RI,12,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,RP,22,1,1,0,4.5,1,0,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,RT,186,1,1,0,0.5,1,0,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,RW,470,5,1,0,0.2,3,2,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,SD,647,20,8,0,1.2,8,12,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,SE,1018,6,5,0,0.5,1,5,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,SF,26,3,1,0,3.8,1,2,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,SH,378,5,2,0,0.5,3,2,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,SS,2801,21,13,0,0.5,9,12,0,0,0,0
2024-25,D,30,66472,0,Orange,Centralia Elementary,District Office,No,TA,4204,32,17,0,0.4,13,19,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,GF,1630,2,1,0,0.1,0,2,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,GM,1731,4,4,0,0.2,1,3,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,RA,1197,1,1,0,0.1,1,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,RB,91,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,RD,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,RF,173,1,1,0,0.6,0,1,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,RH,1025,1,1,0,0.1,0,1,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,RI,12,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,RP,19,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,RT,281,0,0,0,0.0,0,0,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,RW,561,3,2,0,0.4,0,3,0,0,0,0
2024-25,D,30,66480,0,Orange,Cypress Elementary,District Office,All,SD,609,4,3,0,0.5,0,4,0,0,0,0
