AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterSchool,DASS,ReportingCategory,CohortStudents,Regular HS Diploma Graduates (Count),Regular HS Diploma Graduates (Rate),Met UC/CSU Grad Req's (Count),Met UC/CSU Grad Req's (Rate),Seal of Biliteracy (Count),Seal of Biliteracy (Rate),Golden State Seal Merit Diploma (Count),Golden State Seal Merit Diploma (Rate,Graduates Meeting Local Requirements Exemption (Count),Graduates Meeting Local Requirements Exemption (Rate),CPP Completer (Count),CPP Completer (Rate),Adult Ed. HS Diploma (Count),Adult Ed. HS Diploma (Rate),SPED Certificate (Count),SPED Certificate (Rate),GED Completer (Count),GED Completer (Rate),Other Transfer (Count),Other Transfer (Rate),Dropout (Count),Dropout (Rate),Still Enrolled (Count),Still Enrolled (Rate)
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RD,54,25,46.3,11,44.0,4,16.0,10,40.0,3,12.0,0,0.0,0,0.0,0,0.0,2,3.7,1,1.9,17,31.5,9,16.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RF,19,17,89.5,14,82.4,6,35.3,12,70.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RH,1138,712,62.6,292,41.0,136,19.1,154,21.6,73,10.3,0,0.0,0,0.0,3,0.3,11,1.0,20,1.8,178,15.6,214,18.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RI,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RP,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RT,75,63,84.0,39,61.9,18,28.6,35,55.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.3,7,9.3,4,5.3
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,RW,279,211,75.6,105,49.8,51,24.2,93,44.1,6,2.8,0,0.0,0,0.0,0,0.0,0,0.0,8,2.9,41,14.7,19,6.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,SD,346,194,56.1,57,29.4,7,3.6,18,9.3,26,13.4,0,0.0,0,0.0,3,0.9,4,1.2,4,1.2,69,19.9,72,20.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,SE,423,243,57.4,83,34.2,22,9.1,25,10.3,39,16.0,0,0.0,0,0.0,1,0.2,2,0.5,5,1.2,93,22.0,79,18.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,SF,68,28,41.2,4,14.3,2,7.1,0,0.0,11,39.3,0,0.0,0,0.0,0,0.0,0,0.0,1,1.5,22,32.4,17,25.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,SH,319,141,44.2,14,9.9,5,3.5,3,2.1,58,41.1,0,0.0,0,0.0,1,0.3,2,0.6,10,3.1,77,24.1,88,27.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,SM,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,SS,1377,821,59.6,293,35.7,115,14.0,149,18.1,86,10.5,0,0.0,0,0.0,3,0.2,13,0.9,32,2.3,251,18.2,257,18.7
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,All,TA,1824,1231,67.5,606,49.2,292,23.7,437,35.5,86,7.0,0,0.0,0,0.0,3,0.2,14,0.8,33,1.8,276,15.1,267,14.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,GF,476,456,95.8,362,79.4,200,43.9,276,60.5,2,0.4,0,0.0,0,0.0,2,0.4,0,0.0,2,0.4,14,2.9,2,0.4
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,GM,358,335,93.6,230,68.7,91,27.2,158,47.2,1,0.3,0,0.0,0,0.0,1,0.3,0,0.0,1,0.3,19,5.3,2,0.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,GX,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RA,153,148,96.7,134,90.5,77,52.0,131,88.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,3.3,0,0.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RB,18,14,77.8,8,57.1,0,0.0,2,14.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.6,3,16.7,0,0.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RD,13,11,84.6,11,100.0,4,36.4,10,90.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,15.4,0,0.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RF,17,17,100.0,14,82.4,6,35.3,12,70.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RH,433,405,93.5,289,71.4,136,33.6,154,38.0,3,0.7,0,0.0,0,0.0,3,0.7,0,0.0,2,0.5,19,4.4,4,0.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RI,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RP,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RT,53,53,100.0,38,71.7,18,34.0,35,66.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,RW,151,146,96.7,100,68.5,51,34.9,93,63.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,3.3,0,0.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,SD,118,105,89.0,56,53.3,7,6.7,18,17.1,1,1.0,0,0.0,0,0.0,3,2.5,0,0.0,0,0.0,9,7.6,1,0.8
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,SE,136,123,90.4,83,67.5,22,17.9,25,20.3,2,1.6,0,0.0,0,0.0,1,0.7,0,0.0,0,0.0,10,7.4,2,1.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,SF,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,SH,26,23,88.5,14,60.9,5,21.7,3,13.0,0,0.0,0,0.0,0,0.0,1,3.8,0,0.0,1,3.8,1,3.8,0,0.0
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,SS,463,426,92.0,290,68.1,115,27.0,149,35.0,3,0.7,0,0.0,0,0.0,3,0.6,0,0.0,3,0.6,27,5.8,4,0.9
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,No,TA,840,796,94.8,595,74.7,292,36.7,437,54.9,3,0.4,0,0.0,0,0.0,3,0.4,0,0.0,3,0.4,34,4.0,4,0.5
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,Yes,GF,388,187,48.2,5,2.7,0,0.0,0,0.0,29,15.5,0,0.0,0,0.0,0,0.0,6,1.5,9,2.3,79,20.4,107,27.6
2024-25,D,30,10306,0,Orange,Orange County Department of Education,District Office,All,Yes,GM,590,248,42.0,6,2.4,0,0.0,0,0.0,54,21.8,0,0.0,0,0.0,0,0.0,8,1.4,19,3.2,161,27.3,154,26.1
