cds,county,district,school,el_count,reclass_count,year,reclass_rate,org_level_num,county_code,district_code,school_code,charter_num,dass_num
30664493030624,Orange,Brea-Olinda Unified,Brea Canyon High (Continuation),8,3,20,0.375,4,30,66449,3030624,,
30664493030624,Orange,Brea-Olinda Unified,Brea Canyon High (Continuation),9,0,21,0,4,30,66449,3030624,,
30664493030624,Orange,Brea-Olinda Unified,Brea Canyon High (Continuation),6,0,25,0,4,30,66449,3030624,0,1
30664493030640,Orange,Brea-Olinda Unified,Brea-Olinda High,62,18,19,0.290322580645161,4,30,66449,3030640,,
30664493030640,Orange,Brea-Olinda Unified,Brea-Olinda High,54,9,20,0.166666666666667,4,30,66449,3030640,,
30664493030640,Orange,Brea-Olinda Unified,Brea Olinda High,59,9,21,0.152542372881356,4,30,66449,3030640,,
30664493030640,Orange,Brea-Olinda Unified,Brea Olinda High,92,24,25,0.260869565217391,4,30,66449,3030640,0,0
30664496027445,Orange,Brea-Olinda Unified,Arovista Elementary,48,11,19,0.229166666666667,4,30,66449,6027445,,
30664496027445,Orange,Brea-Olinda Unified,Arovista Elementary,51,11,20,0.215686274509804,4,30,66449,6027445,,
30664496027445,Orange,Brea-Olinda Unified,Arovista Elementary,42,5,21,0.119047619047619,4,30,66449,6027445,,
30664496027445,Orange,Brea-Olinda Unified,Arovista Elementary,67,11,25,0.164179104477612,4,30,66449,6027445,0,0
30664496027452,Orange,Brea-Olinda Unified,Laurel Elementary Magnet School of Innovation and,116,7,19,0.0603448275862069,4,30,66449,6027452,,
30664496027452,Orange,Brea-Olinda Unified,Laurel Elementary Magnet School of Innovation and,112,20,20,0.178571428571429,4,30,66449,6027452,,
30664496027452,Orange,Brea-Olinda Unified,Laurel Elementary Magnet School of Innovation and,79,5,21,0.0632911392405063,4,30,66449,6027452,,
30664496027452,Orange,Brea-Olinda Unified,Laurel Elementary Magnet School of Innovation and Career Exploration,67,2,25,0.0298507462686567,4,30,66449,6027452,0,0
30664496027460,Orange,Brea-Olinda Unified,Mariposa Elementary,64,1,19,0.015625,4,30,66449,6027460,,
30664496027460,Orange,Brea-Olinda Unified,Mariposa Elementary,55,22,20,0.4,4,30,66449,6027460,,
30664496027460,Orange,Brea-Olinda Unified,Mariposa Elementary,41,7,21,0.170731707317073,4,30,66449,6027460,,
30664496027460,Orange,Brea-Olinda Unified,Mariposa Elementary,35,8,25,0.228571428571429,4,30,66449,6027460,0,0
30664496027478,Orange,Brea-Olinda Unified,Olinda Elementary,99,14,19,0.141414141414141,4,30,66449,6027478,,
30664496027478,Orange,Brea-Olinda Unified,Olinda Elementary,70,35,20,0.5,4,30,66449,6027478,,
30664496027478,Orange,Brea-Olinda Unified,Olinda Elementary,51,8,21,0.156862745098039,4,30,66449,6027478,,
30664496027478,Orange,Brea-Olinda Unified,Olinda Elementary,80,15,25,0.1875,4,30,66449,6027478,0,0
30664496058911,Orange,Brea-Olinda Unified,Brea Junior High,43,7,19,0.162790697674419,4,30,66449,6058911,,
30664496058911,Orange,Brea-Olinda Unified,Brea Junior High,53,10,20,0.188679245283019,4,30,66449,6058911,,
30664496058911,Orange,Brea-Olinda Unified,Brea Junior High,56,9,21,0.160714285714286,4,30,66449,6058911,,
30664496058911,Orange,Brea-Olinda Unified,Brea Junior High,72,10,25,0.138888888888889,4,30,66449,6058911,0,0
30664496068571,Orange,Brea-Olinda Unified,William E. Fanning Elementary,72,10,19,0.138888888888889,4,30,66449,6068571,,
30664496068571,Orange,Brea-Olinda Unified,Fanning Academy of Science and Technology,51,27,20,0.529411764705882,4,30,66449,6068571,,
30664496068571,Orange,Brea-Olinda Unified,Falcon Academy of Science and Technology,61,0,21,0,4,30,66449,6068571,,
30664496068571,Orange,Brea-Olinda Unified,Falcon Academy of Science and Technology,48,16,25,0.333333333333333,4,30,66449,6068571,0,0
30664496101901,Orange,Brea-Olinda Unified,Brea Country Hills Elementary,66,0,19,0,4,30,66449,6101901,,
30664496101901,Orange,Brea-Olinda Unified,Brea Country Hills Elementary,74,28,20,0.378378378378378,4,30,66449,6101901,,
30664496101901,Orange,Brea-Olinda Unified,Brea Country Hills Elementary,68,1,21,0.0147058823529412,4,30,66449,6101901,,
